,date,CASH,GOOGL,AAPL,AMZN,BA,C,INTC,JPM,MSFT,NVDA,WFC
94,2015-12-10,0.0,0.0,0.33333334,0.33333334,0.0,0.0,0.0,0.0,0.0,0.33333334,0.0
95,2015-12-15,0.0,0.0,0.3280633,0.3280633,0.0,0.0,0.0,0.015810093,0.0,0.3280633,0.0
96,2015-12-18,0.0,0.0,0.32098943,0.32098943,0.03703171,0.0,0.0,0.0,0.0,0.32098943,0.0
97,2015-12-23,0.0,0.0,0.32677767,0.32677767,0.019667046,0.0,0.0,0.0,0.0,0.32677767,0.0
98,2015-12-29,0.0,0.0,0.32309288,0.32309288,0.030721389,0.0,0.0,0.0,0.0,0.32309288,0.0
99,2016-01-04,0.0,0.0,0.3141081,0.3141081,0.023204768,0.034470905,0.0,0.0,0.0,0.3141081,0.0
100,2016-01-07,0.0,0.0,0.33333334,0.33333334,0.0,0.0,0.0,0.0,0.0,0.33333334,0.0
101,2016-01-12,0.0,0.0,0.33333334,0.33333334,0.0,0.0,0.0,0.0,0.0,0.33333334,0.0
102,2016-01-15,0.0,0.0,0.2679978,0.2679978,0.19600663,0.0,0.0,0.0,0.0,0.2679978,0.0
103,2016-01-21,0.0,0.0,0.320671,0.320671,0.037987035,0.0,0.0,0.0,0.0,0.320671,0.0
104,2016-01-26,0.0,0.0,0.29376513,0.2883926,0.1240771,0.0,0.0,0.0,0.0,0.29376513,0.0
105,2016-01-29,0.0,0.0,0.30617034,0.30617034,0.081488974,0.0,0.0,0.0,0.0,0.30617034,0.0
106,2016-02-03,0.0,0.0,0.30567953,0.30567953,0.0,0.08296141,0.0,0.0,0.0,0.30567953,0.0
107,2016-02-08,0.0,0.0,0.33333334,0.33333334,0.0,0.0,0.0,0.0,0.0,0.33333334,0.0
108,2016-02-11,0.0,0.0,0.30254117,0.30254117,0.09237648,0.0,0.0,0.0,0.0,0.30254117,0.0
109,2016-02-17,0.0,0.0,0.29139835,0.29139835,0.12580498,0.0,0.0,0.0,0.0,0.29139835,0.0
110,2016-02-22,0.0,0.0,0.26941288,0.26941288,0.19176137,0.0,0.0,0.0,0.0,0.26941288,0.0
111,2016-02-25,0.0,0.0,0.2861117,0.2861117,0.14166483,0.0,0.0,0.0,0.0,0.2861117,0.0
112,2016-03-01,0.0,0.0,0.264359,0.264359,0.20692298,0.0,0.0,0.0,0.0,0.264359,0.0
113,2016-03-04,0.0,0.0,0.28211293,0.28211293,0.15366124,0.0,0.0,0.0,0.0,0.28211293,0.0
114,2016-03-09,0.0,0.0,0.31415457,0.31415457,0.057536293,0.0,0.0,0.0,0.0,0.31415457,0.0
115,2016-03-14,0.0,0.0,0.33333334,0.33333334,0.0,0.0,0.0,0.0,0.0,0.33333334,0.0
116,2016-03-17,0.0,0.0,0.33333334,0.33333334,0.0,0.0,0.0,0.0,0.0,0.33333334,0.0
117,2016-03-22,0.0,0.0,0.28921115,0.28921115,0.13236658,0.0,0.0,0.0,0.0,0.28921115,0.0
118,2016-03-28,0.0,0.0,0.3046656,0.3046656,0.08600323,0.0,0.0,0.0,0.0,0.3046656,0.0
119,2016-03-31,0.0,0.0,0.32106084,0.32106084,0.036817484,0.0,0.0,0.0,0.0,0.32106084,0.0
120,2016-04-05,0.0,0.0,0.26423818,0.26423818,0.20728543,0.0,0.0,0.0,0.0,0.26423818,0.0
121,2016-04-08,0.0,0.0,0.33333334,0.33333334,0.0,0.0,0.0,0.0,0.0,0.33333334,0.0
122,2016-04-13,0.0,0.0,0.33333334,0.33333334,0.0,0.0,0.0,0.0,0.0,0.33333334,0.0
123,2016-04-18,0.0,0.0,0.27767354,0.27767354,0.16697933,0.0,0.0,0.0,0.0,0.27767354,0.0
124,2016-04-21,0.0,0.0,0.33333334,0.33333334,0.0,0.0,0.0,0.0,0.0,0.33333334,0.0
125,2016-04-26,0.0,0.0,0.3217116,0.3217116,0.03486525,0.0,0.0,0.0,0.0,0.3217116,0.0
126,2016-04-29,0.0,0.0,0.33333334,0.33333334,0.0,0.0,0.0,0.0,0.0,0.33333334,0.0
127,2016-05-04,0.0,0.0,0.30869028,0.30869028,0.073929176,0.0,0.0,0.0,0.0,0.30869028,0.0
128,2016-05-09,0.0,0.0,0.32174504,0.32174504,0.0347649,0.0,0.0,0.0,0.0,0.32174504,0.0
129,2016-05-12,0.0,0.0,0.33202386,0.3339881,0.0,0.0,0.0,0.0,0.0,0.3339881,0.0
130,2016-05-17,0.0,0.0,0.32071987,0.32071987,0.037840348,0.0,0.0,0.0,0.0,0.32071987,0.0
131,2016-05-20,0.0,0.0,0.30251026,0.30251026,0.09246921,0.0,0.0,0.0,0.0,0.30251026,0.0
132,2016-05-25,0.0,0.0,0.33333334,0.33333334,0.0,0.0,0.0,0.0,0.0,0.33333334,0.0
