,WMAMR
2017-10-24,1.513118949755282
2017-10-27,1.5254057104042236
2017-11-01,1.521082622579425
2017-11-06,1.522876844123451
2017-11-09,1.5152624599028337
2017-11-14,1.513451359034399
2017-11-17,1.5145927845897424
2017-11-22,1.5198288919823253
2017-11-28,1.5149524573234556
2017-12-01,1.5132589299108448
2017-12-06,1.471600525637149
2017-12-11,1.5062308986462019
2017-12-14,1.442858351426029
2017-12-19,1.5174507815511
2017-12-22,1.510950795930765
2017-12-28,1.5274323161878811
2018-01-03,1.5098262831343066
2018-01-08,1.5086115688283568
2018-01-11,1.5164188058048007
2018-01-17,1.5430707875275773
2018-01-22,1.5903465673334718
2018-01-25,1.5747041259853685
2018-01-30,1.6366427295559725
2018-02-02,1.5677627755441506
2018-02-07,1.5583851607203132
2018-02-12,1.5958302906732986
2018-02-15,1.6872728492974964
2018-02-21,1.6797809532952328
2018-02-26,1.6863645821900521
2018-03-01,1.6115652305303565
2018-03-06,1.6122584571638865
2018-03-09,1.6568862102497706
2018-03-14,1.6030573224978988
2018-03-19,1.582119392244822
2018-03-22,1.5192009530665416
2018-03-27,1.5263784981817452
2018-04-02,1.5262140335265182
2018-04-05,1.5881024771042727
2018-04-10,1.6264949417988588
2018-04-13,1.6122130916536606
2018-04-18,1.7215689830182968
2018-04-23,1.7888071923640418
2018-04-26,1.7688213365644825
2018-05-01,1.8213840343557564
2018-05-04,1.8088421120397895
2018-05-09,1.910124492230738
2018-05-14,1.9005738697695844
2018-05-17,1.9005738697695844
2018-05-22,1.9005738697695844
2018-05-25,1.9014686623754353
2018-05-31,1.9011231043580723
2018-06-05,1.893612902013782
2018-06-08,1.9421169592232268
2018-06-13,1.9086462951330407
2018-06-18,1.8933293256712658
2018-06-21,1.84722032886588
2018-06-26,1.7580269719450072
2018-06-29,1.759442479837996
2018-07-05,1.7962526736494275
2018-07-10,1.8582031369649836
2018-07-13,1.8200758721166967
2018-07-18,1.837450552222624
2018-07-23,1.828263299461511
2018-07-26,1.828263299461511
