,UCRP
2016-04-29,1.5312501575628334
2016-05-04,1.5152890489186852
2016-05-09,1.5200089150567158
2016-05-12,1.5363884486071961
2016-05-17,1.5549823843859822
2016-05-20,1.5750397432346812
2016-05-25,1.6212325116247208
2016-05-31,1.6319805615171015
2016-06-03,1.6163182599570847
2016-06-08,1.62952807307484
2016-06-13,1.5955948193127623
2016-06-16,1.5848304223535792
2016-06-21,1.5919072124020417
2016-06-24,1.5360503978515567
2016-06-29,1.5665482807885531
2016-07-05,1.5698186192738082
2016-07-08,1.6205067512105547
2016-07-13,1.6477940344689168
2016-07-18,1.669891492480504
2016-07-21,1.6719419562671736
2016-07-26,1.6853256994466954
2016-07-29,1.708672592176942
2016-08-03,1.7081026178701826
2016-08-08,1.7492715851042113
2016-08-11,1.749578168313317
2016-08-16,1.7658351223299444
2016-08-19,1.7636909949032962
2016-08-24,1.7593124313839088
2016-08-29,1.7714557681666883
2016-09-01,1.7744070538787573
2016-09-07,1.785410147877292
2016-09-12,1.760777996918099
2016-09-15,1.7706067654338784
2016-09-20,1.771388731462614
2016-09-23,1.7934005065096967
2016-09-28,1.8039053003621288
2016-10-03,1.7992441769428613
2016-10-06,1.8242243644010097
2016-10-11,1.8193963509752349
2016-10-14,1.8129722348563426
2016-10-19,1.819623158776668
2016-10-24,1.8526722366052388
2016-10-27,1.8477770083613665
2016-11-01,1.8188336920801944
2016-11-04,1.779021768216638
2016-11-09,1.857690092390991
2016-11-14,1.9062284549597415
2016-11-17,1.9548900730777643
2016-11-22,1.9801946042473202
2016-11-28,1.9701988225261275
2016-12-01,1.956442737458442
2016-12-06,1.9974755552562977
2016-12-09,2.046528698814955
2016-12-14,2.052842746927009
2016-12-19,2.0758876086908784
2016-12-22,2.095907257911363
2016-12-28,2.0916684100104836
2017-01-03,2.07845372103681
2017-01-06,2.097630614630538
2017-01-11,2.1106484674022705
2017-01-17,2.0817417392952637
2017-01-20,2.08860543391496
2017-01-25,2.150225261452313
2017-01-30,2.138300942830416
2017-02-02,2.141712329650903
2017-02-07,2.16776019177606
2017-02-10,2.166840437796655
2017-02-15,2.2057886998393514
2017-02-21,2.229545364503962
2017-02-24,2.2030002865984426
2017-03-01,2.2433326247367202
2017-03-06,2.2061518553930304
2017-03-09,2.2182809461242714
2017-03-14,2.2203653708005535
2017-03-17,2.230509592217143
2017-03-22,2.1973227457628846
2017-03-27,2.1944018650706334
2017-03-30,2.2346843212588223
2017-04-04,2.2209529775214603
2017-04-07,2.2052352831445248
2017-04-12,2.176633044478169
2017-04-18,2.1850935534614906
2017-04-21,2.1998412867565316
2017-04-26,2.2530933415535266
2017-05-01,2.2806561443356848
2017-05-04,2.288891093997817
2017-05-09,2.3023420770102376
2017-05-12,2.3502393082813207
2017-05-17,2.308061317827662
2017-05-22,2.36909829480093
2017-05-25,2.396043774412718
2017-05-31,2.3825607376363136
2017-06-05,2.4172636215214536
2017-06-08,2.457259065520834
2017-06-13,2.429597554557277
2017-06-16,2.412853792232118
2017-06-21,2.4382533794266585
2017-06-26,2.4213360213822965
2017-06-29,2.4184475143054884
2017-07-05,2.436978094286607
2017-07-10,2.46378568225171
2017-07-13,2.4959172418938795
2017-07-18,2.5189809104593635
2017-07-21,2.5256383626584142
2017-07-26,2.5694436228068414
2017-07-31,2.5403785570826005
2017-08-03,2.5606463862208804
2017-08-08,2.5814871791816087
2017-08-11,2.5208238686701003
2017-08-16,2.564412935832169
2017-08-21,2.5075703151312028
2017-08-24,2.5390558132559637
2017-08-29,2.54187783029625
2017-09-01,2.5725174895986527
2017-09-07,2.537513126152732
2017-09-12,2.577924308503031
2017-09-15,2.611399284618385
2017-09-20,2.6474017707240667
2017-09-25,2.595240827480813
2017-09-28,2.637944712026682
2017-10-03,2.678404161912302
