Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
51	0.72427976	0.19614154	1.170186	0.4253112	500.0	0.063534446	0.095059514	0.41240087	-0.17105338	260000	-5.0529838e-08	0.005524618	-0.011770133	-0.0005611805	0.84202296	0.01609242	0.1522	12.0	277.4641275405884
52	0.7089104	0.11336285	1.0085809	0.60352665	500.0	0.07080375	0.09230954	0.40116167	-0.13387428	265000	6.313324e-08	0.0043034377	-0.0035075373	-0.0005651873	0.84034187	0.01786953	0.1872	2.0	282.13904786109924
53	1.0025944	0.1381496	1.239226	0.8184591	500.0	0.057639815	0.089479014	0.41014647	-0.14824472	270000	1.631975e-08	0.0072565307	-0.0039470685	-0.0027125794	0.83994865	0.015551558	0.1384	2.0	286.77071619033813
54	0.74921584	0.16567753	1.1029071	0.4847638	500.0	0.10419824	0.09435368	0.4746467	-0.09672361	275000	8.559227e-09	0.006279419	-0.021708772	-0.0019620215	0.8396	0.015514579	0.1914	47.0	292.36860728263855
55	0.9451828	0.20439968	1.3598474	0.6347412	500.0	0.06731355	0.088222615	0.40626234	-0.14848262	280000	-1.7118454e-08	0.0051161074	-0.019120818	-0.00089393	0.83449954	0.015188334	0.2034	31.0	297.66781401634216
56	0.81245327	0.20378543	1.1358012	0.4536565	500.0	0.0930758	0.09244044	0.46649218	-0.120166495	285000	-3.015399e-08	0.005131353	-0.025613153	-0.00060553895	0.8269753	0.012484844	0.216	79.0	304.4672646522522
57	1.0027219	0.17385522	1.3117359	0.61654264	500.0	0.0712169	0.09479996	0.44741324	-0.14329231	290000	-3.7378072e-08	0.0055704075	-0.01594591	-0.0010412168	0.8204883	0.015084099	0.174	21.0	309.54106736183167
58	0.94644654	0.17720999	1.158279	0.54983944	500.0	0.096814394	0.09904241	0.50937766	-0.105360344	295000	5.724728e-08	0.0050340816	-0.01930449	-0.0005728011	0.819421	0.015393027	0.1712	47.0	315.13811469078064
59	1.0796602	0.16608153	1.2898139	0.81419796	500.0	0.08680046	0.10933075	0.5005445	-0.13734639	300000	1.9446015e-08	0.00522347	-0.017308427	-0.0010229256	0.8114487	0.0161502	0.2146	49.0	320.81093978881836
60	1.1216276	0.15283912	1.384378	0.85931134	500.0	0.113358885	0.10515755	0.51262987	-0.091999464	305000	-6.3219666e-08	0.0038228657	-0.011364952	-0.00027201348	0.8053454	0.015053395	0.2124	20.0	325.98744654655457
61	1.1016743	0.20900147	1.4232864	0.6573709	500.0	0.11082229	0.11592305	0.54365027	-0.11539958	310000	-5.9098006e-09	0.004520443	-0.0012376494	-0.0002415399	0.8011758	0.021576399	0.1796	3.0	330.69020676612854
62	1.2311047	0.2010745	1.5143057	0.8986261	500.0	0.10883574	0.108409226	0.53821677	-0.10710388	315000	1.578927e-08	0.0052449396	-0.0216225	-0.0010030521	0.8005572	0.013470158	0.1658	79.0	337.0832772254944
63	1.1819899	0.20227624	1.4433585	0.76703703	500.0	0.13563955	0.104942344	0.5391722	-0.06383057	320000	-1.28626825e-08	0.0054063345	-0.016339887	-0.00042711804	0.8021586	0.015120293	0.1912	15.0	342.0350637435913
64	1.1218226	0.18417442	1.4663312	0.81692344	500.0	0.12173164	0.11178908	0.5483124	-0.10865691	325000	-7.219911e-08	0.00437386	-0.013465842	-0.0007890896	0.80179095	0.015653793	0.182	13.0	347.13826870918274
