Date,SPY,TLT,XLB,XLE,XLF,XLI,XLK,XLP,XLU,XLV,XLY
2018-07-18,253.10452270507812,102.66600799560547,51.02879333496094,55.55015182495117,24.54426383972168,66.49629211425781,68.12956237792969,44.060325622558594,42.39670181274414,78.25454711914062,106.00239562988281
2018-07-19,252.15005493164062,103.31676483154297,51.21253204345703,55.564945220947266,24.175182342529297,66.4695053100586,67.88618469238281,44.08550262451172,42.78670883178711,77.8159408569336,105.75830078125
2018-07-20,251.86175537109375,102.04916381835938,51.00254440307617,55.37268829345703,24.2191162109375,66.3981704711914,67.90492248535156,44.3540153503418,42.486087799072266,77.66375732421875,105.28886413574219
2018-07-23,252.33009338378906,100.7900161743164,50.72256088256836,55.12869644165039,24.553054809570312,65.98785400390625,68.25123596191406,44.07712173461914,42.185447692871094,77.82489776611328,105.17622375488281
2018-07-24,253.5998077392578,101.13652038574219,51.37879180908203,55.8237190246582,24.62335777282715,66.26435852050781,68.6256103515625,44.16102600097656,42.331703186035156,78.5320816040039,104.86641693115234
2018-07-25,255.76113891601562,100.9759292602539,51.781272888183594,56.28953170776367,24.676084518432617,67.27230834960938,69.48670196533203,44.49666213989258,42.45357894897461,79.53463745117188,105.63626098632812
2018-07-26,255.15774536132812,100.78154754638672,52.078773498535156,56.903228759765625,24.66729736328125,67.78962707519531,68.41968536376953,44.73160171508789,42.9085807800293,79.31085205078125,105.08234405517578
2018-07-27,253.42877197265625,100.95055389404297,51.88627624511719,56.65922927856445,24.72002410888672,67.79856872558594,67.2497329711914,44.79033660888672,42.77045822143555,78.73796081542969,104.81005859375
2018-07-30,252.10488891601562,100.60411071777344,51.79003143310547,57.12504196166992,24.737598419189453,67.12957763671875,66.20144653320312,44.73999786376953,42.51044845581055,78.78272247314453,103.97452545166016
2018-07-31,253.34768676757812,101.15335083007812,52.26251220703125,57.021541595458984,24.561845779418945,68.6102523803711,66.37928009033203,44.94976806640625,42.892333984375,79.60625457763672,104.46272277832031
2018-08-01,252.9244842529297,100.32928466796875,51.7287712097168,56.23040008544922,24.561845779418945,67.68258666992188,66.97830963134766,44.572174072265625,42.61608123779297,79.62413787841797,103.94636535644531
2018-08-02,254.3022918701172,100.4732894897461,51.38753890991211,55.91984176635742,24.57063102722168,67.59339904785156,67.8206787109375,45.02527618408203,42.827327728271484,79.91954803466797,104.65987396240234
2018-08-03,255.39187622070312,100.97296905517578,51.87752914428711,55.63148498535156,24.711233139038086,67.65582275390625,68.06404876708984,45.55390548706055,43.306705474853516,80.39398193359375,105.01661682128906
2018-08-06,256.3284912109375,101.03224182128906,51.860023498535156,55.83852767944336,24.84305191040039,67.75395202636719,68.42906188964844,45.595863342285156,43.339210510253906,80.5372085571289,105.72074127197266
2018-08-07,257.1750183105469,100.50718688964844,52.0350227355957,56.2525749206543,24.957292556762695,68.23561096191406,68.69115447998047,45.3189582824707,43.27421188354492,80.5461654663086,106.20892333984375
2018-08-08,257.0669250488281,100.60880279541016,51.81627655029297,55.84589385986328,25.018808364868164,67.93234252929688,68.87834167480469,44.97493362426758,43.04671859741211,80.67149353027344,106.32158660888672
2018-08-09,256.7157897949219,101.45573425292969,52.09626770019531,55.328346252441406,24.869413375854492,67.55772399902344,68.90641021728516,44.84067916870117,43.241703033447266,80.58197784423828,106.71589660644531
2018-08-10,254.99571228027344,102.19258880615234,51.343788146972656,55.6684455871582,24.579418182373047,66.9601058959961,68.35417938232422,44.67287063598633,43.05483627319336,80.23286437988281,105.82400512695312
2018-08-13,254.0410919189453,101.9808578491211,50.82755661010742,54.958648681640625,24.342144012451172,66.63898468017578,68.26061248779297,44.67287063598633,43.11171340942383,80.25973510742188,105.28886413574219
2018-08-14,255.66207885742188,101.75215911865234,51.256290435791016,55.09172821044922,24.57063102722168,67.10282135009766,68.68177795410156,44.98332214355469,43.20108413696289,80.63568878173828,106.31220245361328
2018-08-15,253.7529296875,102.34507751464844,50.44256591796875,53.1693229675293,24.377302169799805,66.78172302246094,68.06404876708984,45.16791534423828,43.59921646118164,80.50141906738281,105.01661682128906
2018-08-16,255.8061981201172,102.3365707397461,50.748802185058594,53.55380630493164,24.702449798583984,67.62907409667969,68.3635482788086,45.81401824951172,44.07047653198242,81.28914642333984,105.53297424316406
2018-08-17,256.70672607421875,102.46361541748047,51.12503433227539,53.68690872192383,24.755172729492188,68.03939819335938,68.46650695800781,46.166439056396484,44.29796600341797,81.53978729248047,105.62684631347656
